Session Key,Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Label,Fwd IAT Min,Fwd IAT Max,Fwd IAT Sum,Fwd IAT Ave,Fwd IAT Std,Bwd IAT Min,Bwd IAT Max,Bwd IAT Sum,Bwd IAT Ave,Bwd IAT Std,Flow IAT Min,Flow IAT Max,Flow IAT Ave,Flow IAT Std,Fwd Flag Ack Num,Bwd Flag Ack Num,F/Bwd Flag Ack Ratio,Fwd Flag Ack Speed,Bwd Flag Ack Speed,Fwd Flag Cwr Num,Bwd Flag Cwr Num,F/Bwd Flag Cwr Ratio,Fwd Flag Cwr Speed,Bwd Flag Cwr Speed,Fwd Flag Ecn Num,Bwd Flag Ecn Num,F/Bwd Flag Ecn Ratio,Fwd Flag Ecn Speed,Bwd Flag Ecn Speed,Fwd Flag Fin Num,Bwd Flag Fin Num,F/Bwd Flag Fin Ratio,Fwd Flag Fin Speed,Bwd Flag Fin Speed,Fwd Flag Ns Num,Bwd Flag Ns Num,F/Bwd Flag Ns Ratio,Fwd Flag Ns Speed,Bwd Flag Ns Speed,Fwd Flag Push Num,Bwd Flag Push Num,F/Bwd Flag Push Ratio,Fwd Flag Push Speed,Bwd Flag Push Speed,Fwd Flag Res Num,Bwd Flag Res Num,F/Bwd Flag Res Ratio,Fwd Flag Res Speed,Bwd Flag Res Speed,Fwd Flag Reset Num,Bwd Flag Reset Num,F/Bwd Flag Reset Ratio,Fwd Flag Reset Speed,Bwd Flag Reset Speed,Fwd Flag Syn Num,Bwd Flag Syn Num,F/Bwd Flag Syn Ratio,Fwd Flag Syn Speed,Bwd Flag Syn Speed,Fwd Flag Urg Num,Bwd Flag Urg Num,F/Bwd Flag Urg Ratio,Fwd Flag Urg Speed,Bwd Flag Urg Speed,Fwd Pkt Len Min,Fwd Pkt Len Max,Fwd Pkt Len Sum,Fwd Pkt Len Ave,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Sum,Bwd Pkt Len Ave,Bwd Pkt Len Std,Flow Pkt Len Min,Flow Pkt Len Max,Flow Pkt Len Ave,Flow Pkt Len Std,Fwd Pkt Num,Bwd Pkt Num,F/Bwd Pkt Ratio,Fwd Pkt Speed,Bwd Pkt Speed,Fwd Byte Num,Bwd Byte Num,F/Bwd Byte Ratio,Fwd Byte Speed,Bwd Byte Speed
UDP ::201:1:1:1 5555 ::20b:b:b:b 6666,UDP,::201:1:1:1,5555,::20b:b:b:b,6666,44:13.9,44:14.0,1.6222E+15,65328,"{'00:0b:00:0b:00:0b:00:0b', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0.065327883,0.065327883,0.065327883,0.065327883,0,0.065327883,0.065327883,0.065327883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,136,68,0,68,68,68,0,0,2,0,0,30.61474406,0,136,0,0,2081.802596
UDP ::201:1:1:1 5555 ::209:9:9:9 6666,UDP,::201:1:1:1,5555,::209:9:9:9,6666,44:14.3,44:14.3,1.6222E+15,0,"{'00:09:00:09:00:09:00:09', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,0,68,68,68,0,0,1,0,0,0,0,68,0,0,0
ICMPv6 fe80::208:8:8:8 0 ff02::1a 0 155 1,ICMPv6,fe80::208:8:8:8,0,ff02::1a,0,44:14.4,44:14.4,1.6222E+15,0,"{'0x0000ffff', '00:08:00:08:00:08:00:08'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,0,0,0,0,0,0,97,97,97,0,1,0,0,0,0,97,0,0,0,0
ICMPv6 fe80::209:9:9:9 0 ff02::1a 0 155 1,ICMPv6,fe80::209:9:9:9,0,ff02::1a,0,44:14.8,44:14.8,1.6222E+15,0,"{'0x0000ffff', '00:09:00:09:00:09:00:09'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,0,0,0,0,0,0,97,97,97,0,1,0,0,0,0,97,0,0,0,0
ICMPv6 ::201:1:1:1 0 ::203:3:3:3 0 128 0,ICMPv6,::201:1:1:1,0,::203:3:3:3,0,44:14.8,44:19.5,1.6222E+15,4696872,"{'00:03:00:03:00:03:00:03', '00:01:00:01:00:01:00:01'}",Malicious,0,0,0,0,0,0.007335901,0.221999884,4.696871996,0.0391406,0.029654956,0.007335901,0.221999884,0.0391406,0.029654956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,8712,72,0,72,72,72,0,0,121,0,0,25.76182617,0,8712,0,0,1854.851484
ICMPv6 ::201:1:1:1 0 ::203:3:3:3 0 129 0,ICMPv6,::201:1:1:1,0,::203:3:3:3,0,44:14.9,44:19.9,1.6222E+15,4995000,"{'00:03:00:03:00:03:00:03', '00:01:00:01:00:01:00:01'}",Malicious,0.00433588,0.152999878,4.994999886,0.032435064,0.026494736,0,0,0,0,0,0.00433588,0.152999878,0.032435064,0.026494736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,11160,72,0,0,0,0,0,0,72,72,72,0,155,0,0,31.03103103,0,11160,0,0,2234.234234,0
WPAN 0 0 0 0 0x00000002,WPAN,0,0,0,0,44:15.1,44:20.1,1.6222E+15,4988664,set(),Normal,0.003335953,0.048336029,4.988663912,0.017816657,0.010659299,0,0,0,0,0,0.003335953,0.048336029,0.017816657,0.010659299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1405,5,0,0,0,0,0,0,5,5,5,0,281,0,0,56.32770618,0,1405,0,0,281.6385309,0
UDP ::201:1:1:1 5555 ::20c:c:c:c 6666,UDP,::201:1:1:1,5555,::20c:c:c:c,6666,44:15.6,44:20.0,1.6222E+15,4385000,"{'00:0c:00:0c:00:0c:00:0c', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,4.38499999,4.38499999,4.38499999,4.38499999,0,4.38499999,4.38499999,4.38499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,68,135,67.5,0.707106781,67,68,67.5,0.707106781,0,2,0,0,0.456100342,0,135,0,0,30.78677309
UDP ::201:1:1:1 5555 ::205:5:5:5 6666,UDP,::201:1:1:1,5555,::205:5:5:5,6666,44:16.1,44:20.4,1.6222E+15,4298000,"{'00:05:00:05:00:05:00:05', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,4.298000097,4.298000097,4.298000097,4.298000097,0,4.298000097,4.298000097,4.298000097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,136,68,0,68,68,68,0,0,2,0,0,0.465332713,0,136,0,0,31.64262448
UDP ::201:1:1:1 5555 ::206:6:6:6 6666,UDP,::201:1:1:1,5555,::206:6:6:6,6666,44:16.2,44:20.5,1.6222E+15,4265000,"{'00:06:00:06:00:06:00:06', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,4.264999866,4.264999866,4.264999866,4.264999866,0,4.264999866,4.264999866,4.264999866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,136,68,0,68,68,68,0,0,2,0,0,0.468933177,0,136,0,0,31.88745604
