icmpv6,udp,wpan,src_mac,src_ip,src_port,dst_mac,dst_ip,dst_port,init_ts,last_ts,ts,duration,label
1,0,0,5194122994845447,::212:7401:1:101,0,5194131584911625,::212:7409:9:909,0,1872300.0,1872300.0,1622120000000000.0,0,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1872700.0,1872700.0,1622120000000000.0,0,0
1,0,0,5194118699812358,fe80::212:7406:6:606,0,18446744073709551615,ff02::1a,0,1873900.0,1873900.0,1622120000000000.0,0,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1875000.0,1879900.0,1622120000000000.0,4945298,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1875100.0,1879900.0,1622120000000000.0,4818291,0
1,0,0,5194101519680002,fe80::212:7402:2:202,0,18446744073709551615,ff02::1a,0,1875300.0,1875300.0,1622120000000000.0,0,0
1,0,0,5194105814713091,fe80::212:7403:3:303,0,18446744073709551615,ff02::1a,0,1875500.0,1875500.0,1622120000000000.0,0,0
0,0,1,0,0,0,0,0,0,1875900.0,1880700.0,1622120000000000.0,4779516,0
1,0,0,18446744073709551615,fe80::212:7409:9:909,0,5194131584911625,ff02::1a,0,1876000.0,1876000.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1876200.0,1876200.0,1622120000000000.0,0,0
1,0,0,5194140174977803,fe80::212:740b:b:b0b,0,18446744073709551615,ff02::1a,0,1876300.0,1876300.0,1622120000000000.0,0,0
1,0,0,5194114404779269,fe80::212:7405:5:505,0,18446744073709551615,ff02::1a,0,1876900.0,1876900.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1876900.0,1881900.0,1622120000000000.0,4937468,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1877800.0,1877800.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1878900.0,1878900.0,1622120000000000.0,23792,0
1,0,0,5194127289878536,fe80::212:7408:8:808,0,18446744073709551615,ff02::1a,0,1879600.0,1879600.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1879900.0,1880000.0,1622120000000000.0,61306,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1880600.0,1880600.0,1622120000000000.0,37327,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1880700.0,1885600.0,1622120000000000.0,4956881,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1881300.0,1881300.0,1622120000000000.0,0,0
0,0,1,0,0,0,0,0,0,1881300.0,1886200.0,1622120000000000.0,4866522,0
1,0,0,5194135879944714,fe80::212:740a:a:a0a,0,18446744073709551615,ff02::1a,0,1881300.0,1881300.0,1622120000000000.0,0,0
1,0,0,5194110109746180,fe80::212:7404:4:404,0,18446744073709551615,ff02::1a,0,1881400.0,1881400.0,1622120000000000.0,0,0
1,0,0,18446744073709551615,fe80::212:7409:9:909,0,5194131584911625,ff02::1a,0,1881600.0,1881600.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1882400.0,1882400.0,1622120000000000.0,41474,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,18446744073709551615,ff02::1a,0,1882600.0,1882600.0,1622120000000000.0,0,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1883100.0,1883100.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1884000.0,1888500.0,1622120000000000.0,4547245,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1885000.0,1885000.0,1622120000000000.0,41721,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1885000.0,1889600.0,1622120000000000.0,4638603,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1885400.0,1885400.0,1622120000000000.0,0,0
1,0,0,5194118699812358,fe80::212:7406:6:606,0,18446744073709551615,ff02::1a,0,1885900.0,1885900.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1886000.0,1886100.0,1622120000000000.0,21702,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1886200.0,1886200.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1886500.0,1891200.0,1622120000000000.0,4695297,0
0,0,1,0,0,0,0,0,0,1886500.0,1891300.0,1622120000000000.0,4788396,0
1,0,0,5194114404779269,fe80::212:7405:5:505,0,18446744073709551615,ff02::1a,0,1887200.0,1887200.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1887500.0,1887500.0,1622120000000000.0,41474,0
1,0,0,5194105814713091,fe80::212:7403:3:303,0,18446744073709551615,ff02::1a,0,1887800.0,1887800.0,1622120000000000.0,0,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1888600.0,1893000.0,1622120000000000.0,4414063,0
1,0,0,5194101519680002,fe80::212:7402:2:202,0,18446744073709551615,ff02::1a,0,1889800.0,1889800.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1890500.0,1890500.0,1622120000000000.0,18282,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1890500.0,1890500.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1891100.0,1895800.0,1622120000000000.0,4703818,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1891300.0,1891300.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1891600.0,1891700.0,1622120000000000.0,29529,0
0,0,1,0,0,0,0,0,0,1891600.0,1896600.0,1622120000000000.0,4997341,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1892900.0,1892900.0,1622120000000000.0,41474,0
1,0,0,5194140174977803,fe80::212:740b:b:b0b,0,18446744073709551615,ff02::1a,0,1893500.0,1893500.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1893800.0,1898500.0,1622120000000000.0,4760302,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1893900.0,1898600.0,1622120000000000.0,4698858,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1895700.0,1900400.0,1622120000000000.0,4713594,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1895900.0,1895900.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1896600.0,1896600.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1896700.0,1901300.0,1622120000000000.0,4585938,0
0,0,1,0,0,0,0,0,0,1896700.0,1901500.0,1622120000000000.0,4797214,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1896900.0,1901500.0,1622120000000000.0,4568594,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1897400.0,1897400.0,1622120000000000.0,0,0
1,0,0,18446744073709551615,fe80::212:7409:9:909,0,5194131584911625,ff02::1a,0,1898200.0,1898200.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1898500.0,1898500.0,1622120000000000.0,41488,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1901100.0,1901100.0,1622120000000000.0,0,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1901100.0,1901100.0,1622120000000000.0,24131,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1901800.0,1901800.0,1622120000000000.0,0,0
0,0,1,0,0,0,0,0,0,1901800.0,1906600.0,1622120000000000.0,4740314,0
1,0,0,5194097224646913,fe80::212:7401:1:101,0,18446744073709551615,ff02::1a,0,1902500.0,1902500.0,1622120000000000.0,0,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1903300.0,1903300.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194105814713091,::212:7403:3:303,6666,1903800.0,1903800.0,1622120000000000.0,11873,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194131584911625,::212:7409:9:909,6666,1903900.0,1903900.0,1622120000000000.0,44837,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1904000.0,1904000.0,1622120000000000.0,26134,0
1,0,0,5194127289878536,fe80::212:7408:8:808,0,18446744073709551615,ff02::1a,0,1904000.0,1904000.0,1622120000000000.0,0,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194118699812358,::212:7406:6:606,6666,1904900.0,1909500.0,1622120000000000.0,4565158,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7405:5:505,6666,1906000.0,1906000.0,1622120000000000.0,52953,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7402:2:202,6666,1906300.0,1906300.0,1622120000000000.0,19294,0
0,1,0,5194127289878536,::212:7401:1:101,5555,5194097224646913,::212:7408:8:808,6666,1906400.0,1906400.0,1622120000000000.0,0,0
0,1,0,5194110109746180,::212:7401:1:101,5555,5194097224646913,::212:7404:4:404,6666,1906600.0,1911300.0,1622120000000000.0,4679671,0
0,1,0,5194097224646913,::212:7401:1:101,5555,5194135879944714,::212:740a:a:a0a,6666,1907300.0,1912000.0,1622120000000000.0,4679673,0
0,0,1,0,0,0,0,0,0,1907300.0,1912300.0,1622120000000000.0,4953790,0
1,0,0,5194122994845447,fe80::212:7407:7:707,0,18446744073709551615,ff02::1a,0,1908600.0,1908600.0,1622120000000000.0,0,0
0,1,0,5194122994845447,::212:7401:1:101,5555,5194097224646913,::212:7407:7:707,6666,1909000.0,1909000.0,1622120000000000.0,0,0
1,0,0,5194135879944714,fe80::212:740a:a:a0a,0,18446744073709551615,ff02::1a,0,1909200.0,1909200.0,1622120000000000.0,0,0
0,1,0,5194140174977803,::212:7401:1:101,5555,5194097224646913,::212:740b:b:b0b,6666,1909200.0,1913800.0,1622120000000000.0,4601917,0
1,0,0,5194110109746180,fe80::212:7404:4:404,0,18446744073709551615,ff02::1a,0,1909200.0,1909200.0,1622120000000000.0,0,0
